Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),np,0,591,0,101,Central Tablelands
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"62,292",,515,,102,Central West
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),893,,131,,103,Greater Sydney
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"6,726",,210,,104,Hunter
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"97,965",0,680,0,105,Murray
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"19,477",,391,,106,North Coast
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),np,0,195,,108,North West NSW
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),np,0,228,,109,Northern Tablelands
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"17,913",,389,,111,South East NSW
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),np,0,14,,112,Western
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),np,0,601,,201,Corangamite
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"11,076",,121,,202,East Gippsland
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"98,549",,826,,203,Glenelg Hopkins
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"58,702",,607,,204,Goulburn Broken
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"2,325",,35,,205,Mallee
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"66,717",,502,,206,North Central
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"18,209",,259,,207,North East
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"16,499",,479,,208,Port Phillip and Western Port
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"40,562",,540,,209,West Gippsland
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),np,0,120,,210,Wimmera
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"9,219",,351,,301,Burnett Mary
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),np,0,,0,302,Cape York
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),683,,58,,303,Condamine
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),np,0,,0,305,Desert Channels
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),519,,32,,306,Fitzroy Basin
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"1,495",,43,,307,North Queensland Dry Tropics
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),917,,31,,308,Northern Gulf
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"1,588",,91,,309,Queensland Murray Darling Basin
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"6,507",,280,0,310,Reef Catchments
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"3,762",,242,,311,South East Queensland
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"22,074",0,811,0,314,Terrain NRM
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"6,238",,126,,401,Adelaide and Mount Lofty Ranges
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"11,644",,75,,403,Eyre Peninsula
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"5,488",,,0,404,Kangaroo Island
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"10,129",,87,,405,Northern and Yorke
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),np,0,89,,407,South Australian Murray Darling Basin
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"15,112",,187,,408,South East
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),"433,398",0,655,0,501,Northern Agricultural
LMSOILENHAHALM_F,Soil management - Soil enhancer use - Lime (including lime sand and stone) - Area applied to (ha),np,0,215,,502,Peel-Harvey
