Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),302,,21,,101,Central Tablelands
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,102,Central West
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),"1,265",,52,,103,Greater Sydney
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),"6,077",,23,,104,Hunter
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,6,,105,Murray
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),"22,817",,151,,106,North Coast
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,108,North West NSW
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,109,Northern Tablelands
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),51,,13,,111,South East NSW
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),265,,10,,201,Corangamite
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,202,East Gippsland
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,203,Glenelg Hopkins
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),"1,429",,9,,204,Goulburn Broken
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),64,,5,,205,Mallee
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,22,,206,North Central
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,207,North East
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),925,,45,,208,Port Phillip and Western Port
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,209,West Gippsland
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,210,Wimmera
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),"45,888",,100,,301,Burnett Mary
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,302,Cape York
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),198,,13,,303,Condamine
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,306,Fitzroy Basin
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,307,North Queensland Dry Tropics
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),"8,459",,35,,308,Northern Gulf
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),11,,4,,309,Queensland Murray Darling Basin
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,310,Reef Catchments
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),"3,097",,38,,311,South East Queensland
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),"9,244",,53,,314,Terrain NRM
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),"11,851",,65,,401,Adelaide and Mount Lofty Ranges
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,403,Eyre Peninsula
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,405,Northern and Yorke
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),"2,512",0,30,,407,South Australian Murray Darling Basin
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,24,,408,South East
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,3,0,501,Northern Agricultural
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,502,Peel-Harvey
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,503,Perth
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,504,Rangelands
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,,0,505,South Coast
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,71,,506,South West
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,3,0,601,Cradle Coast
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),419,,14,,602,North
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),137,,13,,603,South
LMSOILENHATOMU_F,Soil management - Soil enhancer use - Mulch - Weight applied (t),np,0,4,,701,Northern Territory
