Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"8,469",,88,,101,Central Tablelands
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"52,860",,100,,102,Central West
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),54,,27,,103,Greater Sydney
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"5,769",,19,,104,Hunter
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"16,479",,97,,105,Murray
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"14,836",,219,,106,North Coast
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"22,114",,123,,108,North West NSW
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"22,192",,50,,109,Northern Tablelands
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"13,471",,108,,111,South East NSW
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),804,,24,,112,Western
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"2,204",,50,,201,Corangamite
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),428,,16,,202,East Gippsland
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"1,709",,30,,203,Glenelg Hopkins
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"7,802",,147,,204,Goulburn Broken
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"3,417",,75,,205,Mallee
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"12,019",,102,,206,North Central
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"9,773",,67,,207,North East
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"2,475",,111,,208,Port Phillip and Western Port
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"9,079",,78,,209,West Gippsland
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"7,544",,43,,210,Wimmera
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"24,453",,217,,301,Burnett Mary
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"37,519",,147,,303,Condamine
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),np,0,,0,305,Desert Channels
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"12,719",,125,,306,Fitzroy Basin
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"3,105",,71,,307,North Queensland Dry Tropics
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),np,0,,0,308,Northern Gulf
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"20,477",,120,,309,Queensland Murray Darling Basin
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"3,753",,102,,310,Reef Catchments
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"3,599",,190,,311,South East Queensland
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"2,821",,113,,314,Terrain NRM
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"2,846",,101,,401,Adelaide and Mount Lofty Ranges
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),np,0,,0,403,Eyre Peninsula
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"1,724",,,0,404,Kangaroo Island
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),np,0,26,,405,Northern and Yorke
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"4,707",,79,,407,South Australian Murray Darling Basin
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"25,586",,123,,408,South East
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"3,271",,33,,501,Northern Agricultural
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),248,0,11,,502,Peel-Harvey
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),np,0,15,,503,Perth
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),np,0,8,,504,Rangelands
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"3,099",,33,,505,South Coast
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"7,672",,89,,506,South West
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"3,134",,55,,601,Cradle Coast
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"3,024",,31,,602,North
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"2,356",,23,,603,South
LMSOILENHAHAOT_F,Soil management - Soil enhancer use - Other soil enhancers - Area applied to (ha) (h),"3,038",,16,,701,Northern Territory
