Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,,0,101,Central Tablelands
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,14,,102,Central West
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,,0,104,Hunter
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"382,356",,67,,105,Murray
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,18,,106,North Coast
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"119,996",,28,,108,North West NSW
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"255,286",,9,,111,South East NSW
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"50,880,649",,16,,201,Corangamite
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,,0,202,East Gippsland
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,3,,203,Glenelg Hopkins
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"67,080",,70,,204,Goulburn Broken
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"193,548",,43,,205,Mallee
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"168,503",,66,,206,North Central
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,35,,207,North East
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,,0,208,Port Phillip and Western Port
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,37,,209,West Gippsland
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,,0,210,Wimmera
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,16,,301,Burnett Mary
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,,0,303,Condamine
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"38,072",,15,,307,North Queensland Dry Tropics
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,,0,308,Northern Gulf
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"12,010",,12,,309,Queensland Murray Darling Basin
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,20,,310,Reef Catchments
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"38,971",,13,,311,South East Queensland
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"2,639,248",,17,,314,Terrain NRM
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,26,,401,Adelaide and Mount Lofty Ranges
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,10,,407,South Australian Murray Darling Basin
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"13,246,862",,27,,408,South East
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,,0,501,Northern Agricultural
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,,0,505,South Coast
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"18,141",,39,,506,South West
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"2,077,828",,6,,601,Cradle Coast
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,15,,602,North
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),np,0,5,,603,South
LMSOILENHALTOT_F,Soil management - Soil enhancer use - Other soil enhancers - Volume applied (L) (h),"7,940",,5,,701,Northern Territory
