Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"81,466",,76,,101,Central Tablelands
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"26,989",,86,,102,Central West
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),np,0,27,,103,Greater Sydney
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"10,579",,18,,104,Hunter
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"2,694",,30,,105,Murray
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"19,910",,201,,106,North Coast
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),np,0,95,,108,North West NSW
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"34,393",,50,,109,Northern Tablelands
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"6,067",,100,,111,South East NSW
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"5,623",,24,,112,Western
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),494,,34,,201,Corangamite
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),np,0,14,,202,East Gippsland
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),np,0,27,,203,Glenelg Hopkins
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),392,,107,,204,Goulburn Broken
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"7,692",,43,,205,Mallee
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),"35,137",,36,,206,North Central
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),np,0,32,,207,North East
LMSOILENHATOOT_F,Soil management - Soil enhancer use - Other soil enhancers - Weight applied (t) (h),714,,107,,208,Port Phillip and Western Port
