Data item code,Data item description,Estimate,Estimate - Relative Standard Errors,Number of agricultural businesses,Number of agricultural businesses - Relative Standard Errors,NRMR_Code,NRMR name
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"11,242",,117,,101,Central Tablelands
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"22,110",,134,,102,Central West
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"28,616",,284,,103,Greater Sydney
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"47,517",,173,,104,Hunter
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"21,892",,83,,105,Murray
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"44,326",,308,,106,North Coast
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"49,808",,155,,108,North West NSW
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),np,0,55,,109,Northern Tablelands
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"26,557",,184,,111,South East NSW
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),np,0,7,,112,Western
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"11,167",,49,,201,Corangamite
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"1,501",,15,,202,East Gippsland
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"3,334",,36,,203,Glenelg Hopkins
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"22,771",,162,,204,Goulburn Broken
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"17,843",,53,,205,Mallee
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"46,806",,206,,206,North Central
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),143,,24,,207,North East
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"16,505",0,181,,208,Port Phillip and Western Port
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"8,318",,178,,209,West Gippsland
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"2,190",,34,,210,Wimmera
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"6,836",,99,,301,Burnett Mary
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),np,0,,0,302,Cape York
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"24,207",,62,,303,Condamine
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"9,542",,35,,306,Fitzroy Basin
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),np,0,,0,307,North Queensland Dry Tropics
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),np,0,15,,308,Northern Gulf
LMSOILENHATOPM_F,Soil management - Soil enhancer use - Poultry manure - Weight applied (t),"2,605",,30,,309,Queensland Murray Darling Basin
