tr_tra_name_2018,Date,Visitors (000),Nights (000),Expenditure ($M),Average nights,Average spend per trip,Average spend per night
Sydney,2013-01-01,"7,707","20,806","5,537",3,718,266
Blue Mountains,2013-01-01,703,"1,830",305,3,434,166
Capital Country,2013-01-01,"1,045","2,590",365,2,349,141
Central Coast,2013-01-01,"1,381","4,114",558,3,404,136
Central NSW,2013-01-01,"1,872","5,613",736,3,393,131
Hunter,2013-01-01,"2,862","7,895","1,238",3,432,157
New England North West,2013-01-01,"1,330","3,984",482,3,362,121
North Coast NSW,2013-01-01,"4,363","17,641","2,371",4,543,134
Outback NSW,2013-01-01,309,"1,058",180,3,583,170
Riverina,2013-01-01,867,"2,413",258,3,297,107
Snowy Mountains,2013-01-01,720,"2,546",498,4,691,195
South Coast,2013-01-01,"3,030","11,127","1,422",4,469,128
The Murray,2013-01-01,964,"2,606",412,3,427,158
Melbourne,2013-01-01,"7,050","20,746","5,870",3,833,283
Ballarat,2013-01-01,589,"1,332",178,2,302,134
Bendigo Loddon,2013-01-01,756,"1,610",222,2,294,138
Central Highlands,2013-01-01,294,843,118,3,400,140
Central Murray,2013-01-01,655,"1,809",224,3,341,124
Geelong and the Bellarine,2013-01-01,858,"2,501",310,3,362,124
Gippsland,2013-01-01,953,"2,527",245,3,257,97
Goulburn,2013-01-01,470,"1,061",157,2,334,148
Great Ocean Road,2013-01-01,"1,546","4,658",626,3,405,134
High Country,2013-01-01,"1,139","3,582",515,3,452,144
Lakes,2013-01-01,687,"2,469",309,4,451,125
Macedon,2013-01-01,176,455,50,3,283,109
Mallee,2013-01-01,682,"2,286",339,3,497,148
Melbourne East,2013-01-01,422,"1,103",208,3,493,189
Murray East,2013-01-01,80,296,28,4,343,93
Peninsula,2013-01-01,"1,117","3,659",390,3,349,106
Phillip Island,2013-01-01,731,"2,949",283,4,388,96
Spa Country,2013-01-01,220,484,97,2,443,201
Upper Yarra,2013-01-01,242,619,46,3,189,74
Western Grampians,2013-01-01,294,795,73,3,248,91
Wimmera,2013-01-01,141,317,np,2,np,np
Brisbane,2013-01-01,"5,349","16,101","3,413",3,638,212
Bundaberg,2013-01-01,536,"2,015",249,4,465,124
Southern Queensland Country,2013-01-01,"1,597","4,939",671,3,420,136
Fraser Coast,2013-01-01,546,"1,978",251,4,460,127
Gold Coast,2013-01-01,"3,406","14,055","2,961",4,869,211
Mackay,2013-01-01,748,"2,402",420,3,561,175
Townsville,2013-01-01,888,"3,841",573,4,645,149
Outback Queensland,2013-01-01,733,"3,829",355,5,485,93
Sunshine Coast,2013-01-01,"2,684","10,972","2,079",4,775,189
Tropical North Queensland,2013-01-01,"1,645","8,039","1,699",5,"1,033",211
Whitsundays,2013-01-01,473,"2,141",577,5,"1,220",269
Capricorn,2013-01-01,842,"3,139",497,4,590,158
Gladstone,2013-01-01,402,"1,545",251,4,624,162
Adelaide,2013-01-01,"2,160","7,212","1,709",3,791,237
Adelaide Hills,2013-01-01,145,403,51,3,353,127
Barossa,2013-01-01,192,551,79,3,412,144
Clare Valley,2013-01-01,145,443,54,3,370,121
Eyre Peninsula,2013-01-01,350,"1,384",203,4,580,147
Fleurieu Peninsula,2013-01-01,664,"1,857",226,3,341,122
Limestone Coast,2013-01-01,439,"1,220",173,3,393,141
Murraylands,2013-01-01,291,800,67,3,232,84
Riverland,2013-01-01,293,810,96,3,327,118
Yorke Peninsula,2013-01-01,499,"1,730",153,3,306,88
Flinders Ranges and Outback,2013-01-01,489,"1,956",229,4,468,117
Kangaroo Island,2013-01-01,92,442,75,5,817,170
Experience Perth,2013-01-01,"3,078","11,602","2,616",4,850,225
Australia's Golden Outback,2013-01-01,745,"3,084",380,4,510,123
Australia's North West,2013-01-01,582,"5,019",643,9,"1,104",128
Australia's South West,2013-01-01,"1,997","6,675","1,015",3,508,152
Australia's Coral Coast,2013-01-01,670,"3,253",405,5,604,124
Hobart and the South,2013-01-01,"1,235","4,428",975,4,789,220
East Coast,2013-01-01,277,792,100,3,361,126
Launceston and the North,2013-01-01,725,"1,944",415,3,572,214
North West,2013-01-01,389,"1,234",233,3,599,189
West Coast,2013-01-01,132,344,60,3,455,175
Darwin,2013-01-01,492,"2,528",727,5,"1,480",288
Barkly,2013-01-01,70,276,20,4,281,72
Alice Springs,2013-01-01,167,681,155,4,925,227
Litchfield Kakadu Arnhem,2013-01-01,159,538,113,3,707,209
Katherine Daly,2013-01-01,180,"1,063",113,6,628,107
Lasseter,2013-01-01,131,580,np,4,np,np
MacDonnell,2013-01-01,60,226,14,4,229,61
Canberra,2013-01-01,"2,049","6,233","1,207",3,589,194
Sydney,2014-01-01,"8,424","23,135","5,998",3,712,259
Blue Mountains,2014-01-01,805,"1,774",286,2,356,161
Capital Country,2014-01-01,"1,090","2,511",319,2,293,127
Central Coast,2014-01-01,"1,296","3,504",537,3,414,153
