TR_NAME19,Date,Visitors (000),Nights (000),Expenditure ($M),Average nights,Average spend per trip,Average spend per night
Sydney,2013,2885,61400,5963,21.3,2067,97
Blue Mountains,2013,78,440,37,5.6,471,84
Capital Country,2013,24,466,28,19.4,1159,61
Central Coast,2013,43,652,33,15.2,769,51
Central NSW,2013,36,666,31,18.5,869,47
Hunter,2013,134,2117,136,15.8,1016,64
New England North West,2013,36,982,45,27.3,1249,45
North Coast NSW,2013,257,2938,153,11.4,594,52
Outback NSW,2013,12,183,,15.3,,
Riverina,2013,23,574,18,25,795,31
Snowy Mountains,2013,20,191,,9.6,,
South Coast,2013,113,1955,149,17.3,1318,76
The Murray,2013,21,301,20,14.3,961,68
Melbourne,2013,1868,42874,4399,23,2355,103
Ballarat,2013,21,283,21,13.5,980,74
Bendigo Loddon,2013,16,144,10,9,596,67
Central Highlands,2013,23,87,8,3.8,328,87
Central Murray,2013,14,251,,17.9,,
Geelong and the Bellarine,2013,43,486,33,11.3,782,68
Gippsland,2013,34,330,17,9.7,508,52
Goulburn,2013,15,398,19,26.5,1265,49
Great Ocean Road,2013,141,890,51,6.3,359,57
High Country,2013,16,159,12,9.9,742,77
Lakes,2013,33,129,7,3.9,219,55
Macedon,2013,6,94,4,15.7,575,38
Mallee,2013,21,648,23,30.9,1133,36
Melbourne East,2013,30,687,40,22.9,1309,58
Murray East,2013,,,,,,
Peninsula,2013,40,584,26,14.6,639,44
Phillip Island,2013,31,107,9,3.5,290,84
Spa Country,2013,,,,,,
Upper Yarra,2013,,,,,,
Western Grampians,2013,9,81,,9,,
Wimmera,2013,,,,,,
Brisbane,2013,1023,22183,1643,21.7,1607,74
Bundaberg,2013,32,935,32,29.2,997,34
Southern Queensland Country,2013,42,1270,59,30.2,1399,47
Fraser Coast,2013,117,646,40,5.5,346,63
Gold Coast,2013,766,7344,881,9.6,1150,120
Mackay,2013,44,866,31,19.7,711,36
Townsville,2013,100,1504,86,15,865,57
Outback Queensland,2013,29,684,20,23.6,683,29
Sunshine Coast,2013,216,2244,181,10.4,836,81
Tropical North Queensland,2013,670,6072,818,9.1,1222,135
Whitsundays,2013,178,1323,106,7.4,597,80
Capricorn,2013,62,652,31,10.5,491,47
Gladstone,2013,49,635,24,13,490,37
Adelaide,2013,362,9524,646,26.3,1782,68
Adelaide Hills,2013,9,155,,17.2,,
Barossa,2013,10,123,,12.3,,
Clare Valley,2013,,,,,,
Eyre Peninsula,2013,13,224,,17.2,,
Fleurieu Peninsula,2013,22,205,11,9.3,470,51
Limestone Coast,2013,40,237,,5.9,,
"Murray River, Lakes and Coorong",2013,10,98,8,9.8,792,83
Riverland,2013,9,218,9,24.2,1063,43
Yorke Peninsula,2013,,,,,,
Flinders Ranges and Outback,2013,36,293,,8.1,,
Kangaroo Island,2013,37,143,29,3.9,763,200
Destination Perth,2013,749,21356,1877,28.5,2507,88
Australia's Golden Outback,2013,43,927,54,21.6,1252,58
Australia's North West,2013,66,2314,105,35.1,1594,45
Australia's South West,2013,130,1757,126,13.5,965,72
Australia's Coral Coast,2013,62,1094,66,17.6,1067,60
Hobart and the South,2013,128,1726,143,13.5,1118,83
East Coast,2013,28,88,21,3.1,768,243
Launceston and the North,2013,52,597,43,11.5,832,72
North West,2013,33,381,21,11.5,647,56
West Coast,2013,15,43,5,2.9,328,111
Darwin,2013,129,2466,155,19.1,1202,63
Barkly,2013,18,45,1,2.5,29,12
Alice Springs,2013,119,844,58,7.1,490,69
Litchfield Kakadu Arnhem,2013,29,172,16,5.9,553,93
Katherine Daly,2013,30,272,21,9.1,705,77
Lasseter,2013,134,359,159,2.7,1183,442
MacDonnell,2013,7,18,1,2.6,214,83
Canberra,2013,186,4241,320,22.8,1720,75
Sydney,2014,3063,63794,6263,20.8,2045,98
Blue Mountains,2014,88,383,45,4.4,510,117
Capital Country,2014,21,644,,30.7,,
Central Coast,2014,41,825,34,20.1,826,41
Central NSW,2014,40,893,32,22.3,789,35
Hunter,2014,150,2723,170,18.2,1131,62
New England North West,2014,31,747,49,24.1,1590,66
North Coast NSW,2014,268,2946,167,11,620,57
